date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:01	29058/29058	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2005:25:02%20GMT	https://adnow.com/about	D:/new%20website/adnow.com/about.html	(from )
01:25:01	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%225d514f39-3d%22	https://adnow.com/robots.txt		(from )
01:25:02	122539/122539	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-1deab%22	https://adnow.com/bootstrap/css/bootstrap.min.css?v=005	D:/new%20website/adnow.com/bootstrap/css/bootstrap.min1efd.css	(from https://adnow.com/about)
01:25:02	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-6b4a%22	https://adnow.com/css/font-awesome.min.css?v=005	D:/new%20website/adnow.com/css/font-awesome.min1efd.css	(from https://adnow.com/about)
01:25:02	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-c854%22	https://adnow.com/css/ionicons.min.css?v=005	D:/new%20website/adnow.com/css/ionicons.min1efd.css	(from https://adnow.com/about)
01:25:02	38639/38639	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-96ef%22	https://adnow.com/css/adnow.css?v=005	D:/new%20website/adnow.com/css/adnow1efd.css	(from https://adnow.com/about)
01:25:02	13161/13161	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-3369%22	https://adnow.com/css/elements.css?v=005	D:/new%20website/adnow.com/css/elements1efd.css	(from https://adnow.com/about)
01:25:03	18016/18016	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-4660%22	https://adnow.com/css/responsive.css?v=005	D:/new%20website/adnow.com/css/responsive1efd.css	(from https://adnow.com/about)
01:25:03	238/238	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-ee%22	https://adnow.com/css/dev.css?v=005	D:/new%20website/adnow.com/css/dev1efd.css	(from https://adnow.com/about)
01:25:03	4614/4614	---MCZ	200	added ('OK')	text/css	etag:W/%225d514f3a-1206%22	https://adnow.com/css/owl.carousel.css	D:/new%20website/adnow.com/css/owl.carousel.css	(from https://adnow.com/about)
01:25:04	762/762	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Sep%202019%2005:25:05%20GMT	https://www.google.com/recaptcha/api.js?hl=en	D:/new%20website/www.google.com/recaptcha/apifef7.js	(from https://adnow.com/about)
01:25:04	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d514f3c-14979%22	https://adnow.com/plugins/jQuery/jQuery-2.1.4.min.js	D:/new%20website/adnow.com/plugins/jQuery/jQuery-2.1.4.min.js	(from https://adnow.com/about)
01:25:05	2107/2107	---M--	200	added ('OK')	image/png	etag:%225d514f3a-83b%22	https://adnow.com/images/favicons/apple-touch-icon-57x57.png	D:/new%20website/adnow.com/images/favicons/apple-touch-icon-57x57.png	(from https://adnow.com/about)
01:25:05	2220/2220	---M--	200	added ('OK')	image/png	etag:%225d514f3a-8ac%22	https://adnow.com/images/favicons/apple-touch-icon-60x60.png	D:/new%20website/adnow.com/images/favicons/apple-touch-icon-60x60.png	(from https://adnow.com/about)
01:25:06	2532/2532	---M--	200	added ('OK')	image/png	etag:%225d514f3a-9e4%22	https://adnow.com/images/favicons/apple-touch-icon-72x72.png	D:/new%20website/adnow.com/images/favicons/apple-touch-icon-72x72.png	(from https://adnow.com/about)
01:25:06	2661/2661	---M--	200	added ('OK')	image/png	etag:%225d514f3a-a65%22	https://adnow.com/images/favicons/apple-touch-icon-76x76.png	D:/new%20website/adnow.com/images/favicons/apple-touch-icon-76x76.png	(from https://adnow.com/about)
01:25:07	3943/3943	---M--	200	added ('OK')	image/png	etag:%225d514f3a-f67%22	https://adnow.com/images/favicons/apple-touch-icon-114x114.png	D:/new%20website/adnow.com/images/favicons/apple-touch-icon-114x114.png	(from https://adnow.com/about)
